ReviewId,Reviewerid,CommentIndex,NumOfCurrent,NumOfincurrent,CurrentPar,IncurrentPar,ScoreOfReliability,VotingScore,Status
10006,1000049, 1,10736,6063,0.639086,0.360914,0.639086,1,merged
10006,1000049, 2,10737,6063,0.639107,0.360893,1.278193,1,merged
10006,1000049, 3,10738,6063,0.639129,0.360871,1.917321,1,merged
10013,1000049, 1,10744,6066,0.639143,0.360857,0.639143,1,merged
10013,1000063, 2,289, 20,0.935275,0.064725,1.574418,-1,merged
10013,1000049, 3,10745,6066,0.639165,0.360835,2.213583,1,merged
10016,1000049, 1,10748,6070,0.639077,0.360923,0.639077,1,merged
10016,1000049, 2,10749,6070,0.639099,0.360901,1.278176,1,merged
10016,1000155, 3, 65, 23,0.738636,0.261364,2.016812,-1,merged
10025,1000049, 1,10757,6072,0.639194,0.360806,0.639194,1,merged
10025,1000027, 2, 22, 11,0.666667,0.333333,1.305861,-1,merged
10025,1000049, 3,10758,6072,0.639216,0.360784,1.945077,1,merged
10062,1000049, 1,10803,6114,0.638588,0.361412,0.638588,1,merged
10062,1000254, 2, 20,  3,0.869565,0.130435,1.508154,-1,merged
10062,1000049, 3,10804,6114,0.638610,0.361390,2.146763,1,merged
10064,1000049, 1,10806,6115,0.638615,0.361385,0.638615,1,merged
10064,1000120, 2,  3,  3,0.500000,0.500000,1.138615,1,merged
10064,1000049, 3,10807,6115,0.638636,0.361364,1.777251,1,merged
10070,1000049, 1,10815,6116,0.638769,0.361231,0.638769,1,merged
10070,1000113, 2,  8,  4,0.666667,0.333333,1.305436,1,merged
10070,1000175, 3, 31, 12,0.720930,0.279070,2.026366,1,merged
10097,1000049, 1,10847,6137,0.638660,0.361340,0.638660,1,merged
10097,1000049, 2,10847,6138,0.638622,0.361378,1.277282,1,merged
10097,1000049, 3,10848,6138,0.638644,0.361356,1.915926,1,merged
10105,1000049, 1,10858,6154,0.638255,0.361745,0.638255,1,merged
10105,1000049, 2,10858,6155,0.638218,0.361782,1.276473,1,merged
10105,1000049, 3,10859,6155,0.638239,0.361761,1.914712,1,merged
10123,1000049, 1,10871,6167,0.638044,0.361956,0.638044,1,merged
10123,1000049, 2,10871,6168,0.638007,0.361993,1.276051,1,merged
10123,1000049, 3,10872,6168,0.638028,0.361972,1.914079,1,merged
10139,1000049, 1,10887,6174,0.638122,0.361878,0.638122,1,abandoned
10139,1000049, 2,10887,6175,0.638085,0.361915,1.276207,1,abandoned
10139,1000049, 3,10887,6176,0.638047,0.361953,1.914254,1,abandoned
10143,1000049, 1,10893,6186,0.637801,0.362199,0.637801,1,merged
10143,1000217, 2,  2,  0,1.000000,0.000000,1.637801,1,merged
10143,1000049, 3,10894,6186,0.637822,0.362178,2.275623,1,merged
10152,1000049, 1,10904,6195,0.637698,0.362302,0.637698,1,merged
10152,1000004, 2,149, 37,0.801075,0.198925,1.438773,-1,merged
10152,1000049, 3,10905,6195,0.637719,0.362281,2.076493,1,merged
10154,1000049, 1,10907,6195,0.637762,0.362238,0.637762,1,merged
10154,1000329, 2, 77, 42,0.647059,0.352941,1.284820,-1,merged
10154,1000049, 3,10908,6195,0.637783,0.362217,1.922603,1,merged
10155,1000049, 1,10908,6196,0.637746,0.362254,0.637746,1,merged
10155,1000049, 2,10908,6197,0.637708,0.362292,1.275454,1,merged
10155,1000049, 3,10909,6197,0.637729,0.362271,1.913183,1,merged
10159,1000049, 1,10917,6205,0.637601,0.362399,0.637601,-1,merged
10159,1000383, 2,  1,  0,1.000000,0.000000,1.637601,1,merged
10159,1000015, 3, 58, 14,0.805556,0.194444,2.443156,1,merged
10172,1000049, 1,10927,6224,0.637106,0.362894,0.637106,1,merged
10172,1000049, 2,10927,6225,0.637069,0.362931,1.274174,1,merged
10172,1000049, 3,10928,6225,0.637090,0.362910,1.911264,1,merged
10187,1000049, 1,10947,6231,0.637269,0.362731,0.637269,1,merged
10187,1000049, 2,10947,6232,0.637232,0.362768,1.274500,1,merged
10187,1000049, 3,10948,6232,0.637253,0.362747,1.911753,1,merged
10225,1000049, 1,10994,6245,0.637740,0.362260,0.637740,1,merged
10225,1000049, 2,10994,6246,0.637703,0.362297,1.275443,1,merged
10225,1000049, 3,10995,6246,0.637724,0.362276,1.913167,1,merged
10232,1000049, 1,11001,6248,0.637776,0.362224,0.637776,1,merged
10232,1000049, 2,11002,6248,0.637797,0.362203,1.275573,1,merged
10232,1000004, 3,150, 37,0.802139,0.197861,2.077712,1,merged
10239,1000049, 1,11009,6255,0.637685,0.362315,0.637685,1,merged
10239,1000127, 2, 71, 32,0.689320,0.310680,1.327006,1,merged
10239,1000049, 3,11010,6255,0.637706,0.362294,1.964712,1,merged
10271,1000049, 1,11041,6272,0.637729,0.362271,0.637729,1,abandoned
10271,1000043, 2,  9,  8,0.529412,0.470588,1.167141,1,abandoned
10271,1000105, 3, 20, 10,0.666667,0.333333,1.833807,-1,abandoned
10272,1000049, 1,11042,6272,0.637750,0.362250,0.637750,-1,merged
10272,1000049, 2,11042,6273,0.637713,0.362287,1.275463,1,merged
10272,1000049, 3,11043,6273,0.637734,0.362266,1.913197,1,merged
10287,1000049, 1,11058,6273,0.638047,0.361953,0.638047,-1,merged
10287,1000039, 2, 13,  3,0.812500,0.187500,1.450547,1,merged
10287,1000049, 3,11058,6274,0.638011,0.361989,2.088558,-1,merged
10295,1000049, 1,11073,6275,0.638287,0.361713,0.638287,1,merged
10295,1000049, 2,11074,6275,0.638308,0.361692,1.276595,1,merged
10295,1000049, 3,11075,6275,0.638329,0.361671,1.914923,1,merged
10296,1000049, 1,11075,6276,0.638292,0.361708,0.638292,1,abandoned
10296,1000049, 2,11075,6277,0.638255,0.361745,1.276547,1,abandoned
10296,1000049, 3,11075,6278,0.638218,0.361782,1.914765,1,abandoned
10321,1000049, 1,11102,6287,0.638450,0.361550,0.638450,-1,merged
10321,1000049, 2,11103,6287,0.638470,0.361530,1.276920,1,merged
10321,1000136, 3,  2,  2,0.500000,0.500000,1.776920,1,merged
10338,1000049, 1,11119,6294,0.638546,0.361454,0.638546,1,merged
10338,1000049, 2,11120,6294,0.638567,0.361433,1.277113,1,merged
10338,1000881, 3,  1,  0,1.000000,0.000000,2.277113,1,merged
10368,1000049, 1,11151,6311,0.638587,0.361413,0.638587,1,merged
10368,1000092, 2, 20,  6,0.769231,0.230769,1.407817,-1,merged
10368,1000049, 3,11152,6311,0.638607,0.361393,2.046425,1,merged
10369,1000049, 1,11152,6312,0.638571,0.361429,0.638571,1,merged
10369,1000049, 2,11152,6313,0.638534,0.361466,1.277105,1,merged
10369,1000049, 3,11153,6313,0.638555,0.361445,1.915660,1,merged
10376,1000049, 1,11159,6314,0.638642,0.361358,0.638642,1,merged
10376,1000155, 2, 67, 24,0.736264,0.263736,1.374906,-1,merged
10376,1000049, 3,11160,6314,0.638663,0.361337,2.013569,1,merged
10402,1000049, 1,11220,6352,0.638516,0.361484,0.638516,1,abandoned
10402,1000049, 2,11220,6353,0.638479,0.361521,1.276995,1,abandoned
10402,1000015, 3, 59, 16,0.786667,0.213333,2.063662,1,abandoned
10405,1000049, 1,11222,6357,0.638375,0.361625,0.638375,1,merged
10405,1000049, 2,11222,6358,0.638339,0.361661,1.276714,1,merged
10405,1000049, 3,11223,6358,0.638360,0.361640,1.915074,1,merged
10423,1000049, 1,11249,6409,0.637048,0.362952,0.637048,-1,merged
10423,1000063, 2,299, 22,0.931464,0.068536,1.568513,-1,merged
10423,1000049, 3,11250,6409,0.637069,0.362931,2.205581,1,merged
10425,1000049, 1,11252,6409,0.637110,0.362890,0.637110,1,merged
10425,1000049, 2,11252,6410,0.637074,0.362926,1.274184,1,merged
10425,1000049, 3,11253,6410,0.637094,0.362906,1.911278,1,merged
10429,1000049, 1,11256,6411,0.637120,0.362880,0.637120,-1,merged
10429,1000049, 2,11257,6411,0.637141,0.362859,1.274261,1,merged
10429,1000129, 3, 24,  4,0.857143,0.142857,2.131404,1,merged
10430,1000049, 1,11257,6412,0.637105,0.362895,0.637105,1,merged
10430,1000023, 2, 45, 18,0.714286,0.285714,1.351390,-1,merged
